name,fantasy_score,name,avg
"Dan Arnold",0.0,FA,0.0
"Hunter Long",0.0,Jaguars,0.0
"Tre' McKitty",0.0,Browns,0.0
"Sage Surratt",0.0,FA,0.0
"Noah Gray",0.0,Chiefs,0.0
"Dalton Keene",0.0,Texans,0.0
"Charlie Kolar",0.0,Ravens,0.0
"Roger Carter Jr.",0.0,FA,0.0
"Grant Calcaterra",0.0,Eagles,0.0
"Jelani Woods",0.0,Colts,0.0
"Connor Heyward",0.0,Steelers,0.0
"Jake Ferguson",0.0,Cowboys,0.0
"Matt Bushman",0.0,Chiefs,0.0
"Brock Wright",0.0,Lions,0.0
"Princeton Fant",0.0,Cowboys,0.0
"John Samuel Shenker",0.0,FA,0.0
"Colby Parkinson",0.0,Rams,0.0
"Tucker Fisk",0.0,Chargers,0.0
"Curtis Hodges",0.0,FA,0.0
"Brady Russell",0.0,Seahawks,0.0
"Hunter Bryant",0.0,FA,0.0
"Cade Otton",0.0,Buccaneers,0.0
"Quintin Morris",0.0,Bills,0.0
"E.J. Jenkins",0.0,Eagles,0.0
"Nick Muse",0.0,Eagles,0.0
"Stone Smartt",0.0,Jets,0.0
"Rodney Williams",0.0,FA,0.0
"Peyton Hendershot",0.0,Chiefs,0.0
"Cole Kmet",0.0,Bears,0.0
"Jake Tonges",0.0,49ers,0.0
"Travis Vokolek",0.0,Cardinals,0.0
"Josh Whyle",0.0,Titans,0.0
"Lucas Krull",0.0,Broncos,0.0
"Brayden Willis",0.0,49ers,0.0
"Henry Pearson",0.0,FA,0.0
"Brevyn Spann-Ford",0.0,Cowboys,0.0
"David Martin-Robinson",0.0,Titans,0.0
"Cole Fotheringham",0.0,FA,0.0
"Colson Yankoff",0.0,Commanders,0.0
"Jack Westover",0.0,Patriots,0.0
"Devin Culp",0.0,Buccaneers,0.0
"Jeremy Ruckert",0.0,Jets,0.0
"Zack Kuntz",0.0,Jets,0.0
"Justin Shorter",0.0,Raiders,0.0
"Cole Turner",0.0,Commanders,0.0
"Daniel Bellinger",0.0,Giants,0.0
"James Mitchell",0.0,Panthers,0.0
"Blake Whiteheart",0.0,Browns,0.0
"John Stephens Jr.",0.0,Cowboys,0.0
"Brevin Jordan",0.0,Texans,0.0
"Will Mallory",0.0,Colts,0.0
"Brenden Bates",0.0,Browns,0.0
"Thomas Odukoya",0.0,Titans,0.0
"Julian Hill",0.0,Dolphins,0.0
"Greg Dulcich",0.0,Giants,0.0
"Cameron Latu",0.0,Eagles,0.0
"Luke Schoonmaker",0.0,Cowboys,0.0
"Payne Durham",0.0,Buccaneers,0.0
"Tommy Tremble",0.0,Panthers,0.0
"Ben Sims",0.0,Packers,0.0
"Dallin Holker",0.0,Saints,0.0
"Teagan Quitoriano",0.0,Texans,0.0
"John FitzPatrick",0.0,Packers,0.0
"Nate Adkins",0.0,Broncos,0.0
"Tanner McLachlan",0.0,Bengals,0.0
"Jody Fortson",0.0,Chiefs,0.0
"Brandon Dillon",0.0,FA,0.0
"Baylor Cupp",0.0,Chiefs,0.0
"Cade Stover",0.0,Texans,0.0
"Davis Allen",0.0,Rams,0.0
"Elijah Higgins",0.0,Cardinals,0.0
"Erick All Jr.",0.0,Bengals,0.0
"Luke Musgrave",0.0,Packers,0.0
"Jalen Wydermyer",0.0,FA,0.0
"Michael Mayer",0.0,Raiders,0.0
"Theo Johnson",0.0,Giants,0.0
"Jaheim Bell",0.0,Patriots,0.0
"Brenton Strange",0.0,Jaguars,0.0
"Jared Wiley",0.0,Chiefs,0.0
"Darnell Washington",0.0,Steelers,0.0
"Ja'Tavion Sanders",0.0,Panthers,0.0
"Tucker Kraft",0.0,Packers,0.0
"AJ Barner",0.0,Seahawks,0.0
"Shane Zylstra",0.0,Lions,0.0
"Ben Sinnott",0.0,Commanders,0.0
"Tip Reiman",0.0,Cardinals,0.0
"Cam Grandy",0.0,Bengals,0.0
"Drew Ogletree",0.0,Colts,0.0
"Zach Davidson",0.0,Bills,0.0
"Nikola Kalinic",0.0,Falcons,0.0
